Size,1,3,7,15,31,63,127,255,511,1023,2047,4095,8191,16383,32767,65535,131070,262142,524286,1000000
Finds,88072,92964,94598,101118,120699,145565,51782,37914,30577,28542,44036,39957,62388,58716,70134,75438,56678,45668,81549,121914
Adds,534146,543527,567989,581452,966763,727828,304177,281348,131296,133331,99896,83182,96229,86442,138634,117431,144751,169624,185119,221816
Removes,174516,163914,180223,177778,203469,232011,124773,120698,100715,95818,79512,40364,41181,42403,29356,29360,14275,14679,15089,53418
Circular Finds,121506,422834,645053,901526,1034047,1080531,824460,1070742,74211,79104,106832,111315,132109,179410,173295,187158,197346,216515,256474,355964
Circular Adds,517431,686641,911721,1098469,1258309,1325991,1031192,682975,132925,154126,144751,134960,142712,153317,154128,160241,183071,235678,225890,323341
Circular Removes,612429,776757,931703,957793,1138832,1352088,1047504,658920,1067478,119879,117023,116211,128445,156979,130883,137819,148009,179815,174513,263406
Exploited Finds,72169,78694,94997,108055,141892,55045,34256,32621,39957,75840,130888,296834,466868,2117022,3044240,12907213,16693547,57873913,69043720,64554023
Exploited Adds,545972,553311,592456,616920,781648,634864,472984,139858,150046,204285,218964,614476,819164,3690919,5025884,26676816,38943865,93699747,195112831,87701386
Exploited Removes,168805,161877,172887,192863,215287,118243,117018,99899,108461,111722,109275,230376,408556,1470336,2080729,7288059,13369196,34471706,86029626,29296181
Exploited Circular Finds,123955,125993,437919,686237,723752,627113,432212,138635,66463,78285,87258,108055,115391,167990,278900,344544,413862,487666,493779,779614
Exploited Circular Adds,518651,497449,743323,990824,1074413,828947,551675,136604,138640,165139,146789,152084,138229,191229,274411,536185,450153,596130,639754,700509
Exploited Circular Removes,577368,563918,753103,854635,991227,716410,507233,254030,101123,138633,110091,117842,136594,176150,220997,366158,344548,369420,521915,505604
