Size,1,3,7,15,31,63,127,255,511,1023,2047,4095,8191,16383,32767,65535,131071,262143,524287,647659
Finds,89701,92968,95416,107239,118244,140673,40778,33432,30988,36285,43217,48929,69320,69320,64831,52192,54637,76250,77472,123143
Adds,543523,583890,660145,618144,689093,676858,290317,149235,134558,141080,107241,90932,88481,99489,108460,115391,117838,120693,155355,174511
Removes,172069,169214,178598,173700,206322,194907,114571,112944,98267,104383,77878,41998,43221,41999,29357,12232,13460,10192,15087,52194
Circular Finds,120283,430174,640163,833847,968395,1079304,652800,384913,71764,87670,108462,128847,226708,210798,224670,219774,230784,283788,389398,316821
Circular Adds,489294,762486,992041,1168601,1220790,1374516,990011,660140,148011,165139,159018,150459,191232,178192,192864,198981,210394,243020,274816,290725
Circular Removes,512538,751069,918240,1115189,1191847,1327618,925177,573700,1085009,121098,118657,117429,161878,172881,154535,151685,150867,176959,185935,220997
Exploited Finds,77066,87665,97864,104792,136999,33839,28956,30175,50150,65240,141898,355950,744138,1692959,6692344,10519454,3775735,52525095,54782784,183429265
Exploited Adds,554125,589595,614070,616519,751890,889293,512136,147607,167174,227931,357997,629157,1508260,9510690,14542278,8827712,8727406,83897922,176359751,212297719
Exploited Removes,168806,168807,181442,180629,220996,110499,112537,109277,117435,124366,161870,225889,561868,4431388,4661360,3758610,2555349,31888633,78743599,95078751
Exploited Circular Finds,119878,250357,459122,615695,837103,600205,291540,61162,70131,75843,79919,102754,137818,192050,304587,342913,219365,545561,485217,1025890
Exploited Circular Adds,498674,656474,830578,901123,1112740,788579,568805,269112,148008,172481,157796,152499,167180,323343,365750,311108,267890,547199,589606,841590
Exploited Circular Removes,553311,642612,749439,825279,988384,700913,480735,267075,107642,116208,124366,117028,153312,211614,241384,297250,212841,499081,560244,762893
