Size,1,3,7,15,31,63,127,255,511,1023,2047,4095,8191,16383,32767,65535,100001
Finds,81547,89703,91336,97859,132518,137410,39550,39554,32212,33032,39549,42812,73396,90115,68500,52190,104789
Adds,528440,518653,504792,493776,595715,609579,304179,233229,115800,125178,128031,77876,103566,82363,89298,96634,116208
Removes,165137,162285,166770,173701,197752,221817,117024,107236,100305,111315,85218,42004,46077,44035,34244,27317,49341
Circular Finds,124769,410607,661364,931696,890925,1120484,682564,378797,79916,88482,111314,130475,224261,251581,187560,190010,276454
Circular Adds,491741,490115,727828,808565,891744,1076857,672375,506832,134964,148012,136184,129258,203878,131706,136186,137820,209170
Circular Removes,634048,518659,740464,930888,1004687,1294184,802038,574922,1074412,123548,139038,124762,189601,160243,150866,121102,210804
Exploited Finds,72987,77471,83591,90521,190419,40774,39559,37106,35067,59533,113757,300917,221407,2508456,6782047,5240768,10954924
Exploited Adds,499081,539445,549643,544339,670743,578183,353110,134151,145975,185927,377575,442406,371051,2799585,9144943,7252589,11073987
Exploited Removes,157390,162690,161059,165132,214478,118650,119061,106424,109277,119067,128849,194497,241384,1049131,3837715,2752698,4225071
Exploited Circular Finds,123546,132926,127218,418755,576554,973697,488075,299285,69724,81548,92560,106826,107648,208771,292753,269111,422429
Exploited Circular Adds,452598,521917,567584,561061,795106,992453,744955,437516,142304,156984,160247,143526,97856,195716,284202,277266,403259
Exploited Circular Removes,618959,612435,605504,680934,798774,963094,683792,421610,111722,112544,123950,124368,120693,206725,229968,228334,342506
